"Narcisse, Mercedes", 123179
"Nestler, Walter G", 41216
"Newsome, Walter L", 12390
"Nieves, Michael D", 52478
"Oberman, Igor", 25060
"Oddo, James S", 399010
"Oloruntoba (Toba), Adeyemi L", 114691
"Omotosho, Bola", 33580
"Ortega, Corey", 6219
"Ortiz, Steven A", 325
"Otto, Mark T", 84749
"Pabon, Julio", 16468928
"Pahaham, Cheryl A", 138141
"Palma, Annabel", 57374
"Payne, Breina", 1650
"Peeden, Sondra H", 13070
"Peralta, Jose", 212751
"Person, Carl E", 2802
"Peterson, Daniel P", 5791
"Pheffer, Audrey I", 255304
"Pierson, Stephen E", 27155
"Powell, Hettie V", 51308
"Powell, Regina", 28480
"Prentzas, Constantinos", 98913
"Quaglione, John F", 146454
"Quinn, Christine C", 7569140
"Quiroz, Alfonso", 71734
"Rahman, Mujib U", 49131
"Rajkumar, Jenifer", 59568
"Ramadan, Zead", 57955
"Recchia, Domenic M", 262203
"Reynoso, Antonio", 209493
"Richards, Donovan J", 41965
"Rivera, Joel", 121939
"Rivera, Joel R", 39938
"Rivera, William", 5520
"Rodriguez, Ydanis A", 216449
"Rose, Deborah", 140632
"Rosenthal, Helen", 149944
"Ruiz, William", 56018
"Saffran, Dennis J", 150251
"Salgado, Erick J", 120690
"Sanchez, Lynn", 25
"Santiago, Gladys", 35310
"Santos, Edward N", 414167
"Sasscer-Burgos, David S", 8398
"Sasson, Isaac M", 2135
"Saujani, Reshma M", 1376900
"Scavo, Theresa R", 48517
"Scissura, Carlo A", 194750
"Seddio, Frank R", 61136
"Serpe, Lynne", 36858
"Shafran, Austin I", 71762
"Sheikh, Helal A", 37269
"Sierra, Carlos M", 38747
"Silverstein, Matthew R", 15699
"Simanowitz, Michael", 54356
"Similien, Jean H", 25010
"Simon, Lew M", 70592
"Soto, Humberto", 31693
"Spitzer, Eliot L", 12400
"Squadron, Daniel L", 2056335
"Stanton, Cliff I", 61728
"Storobin, David", 28363
"Stringer, Scott M", 3575751
"Sullivan, Andrew J", 20146
"Swiney, Reginald", 8600
"Tapia, Yudelka", 34685
"Taylor, Akiel B", 1805
"Taylor, Martha", 74114
